run,model,instance,makespan,runtime,parameter_set,seed,jobs,machines,best_makespan,gap,category
9.0,MWKR_SPT,HurinkSdata66.fjs,1214.0,0.0398069858551025,MWKR_SPT,,10,10,944.0,0.2860169491525424,small
0.0,MWKR_SPT,HurinkEdata19.fjs,1158.0,0.0402786016464233,MWKR_SPT,,10,10,892.0,0.2982062780269058,small
1.0,MWKR_SPT,HurinkEdata19.fjs,1189.0,0.0402786016464233,MWKR_SPT,,10,10,892.0,0.3329596412556054,small
2.0,MWKR_SPT,HurinkEdata19.fjs,1163.0,0.0402786016464233,MWKR_SPT,,10,10,892.0,0.3038116591928251,small
3.0,MWKR_SPT,HurinkEdata19.fjs,1219.0,0.0402786016464233,MWKR_SPT,,10,10,892.0,0.3665919282511211,small
4.0,MWKR_SPT,HurinkEdata19.fjs,1213.0,0.0402786016464233,MWKR_SPT,,10,10,892.0,0.3598654708520179,small
5.0,MWKR_SPT,HurinkEdata19.fjs,1215.0,0.0402786016464233,MWKR_SPT,,10,10,892.0,0.36210762331838564,small
6.0,MWKR_SPT,HurinkEdata19.fjs,1279.0,0.0402786016464233,MWKR_SPT,,10,10,892.0,0.43385650224215244,small
7.0,MWKR_SPT,HurinkEdata19.fjs,1383.0,0.0402786016464233,MWKR_SPT,,10,10,892.0,0.5504484304932735,small
8.0,MWKR_SPT,HurinkEdata19.fjs,1219.0,0.0402786016464233,MWKR_SPT,,10,10,892.0,0.3665919282511211,small
9.0,MWKR_SPT,HurinkEdata19.fjs,1250.0,0.0402786016464233,MWKR_SPT,,10,10,892.0,0.4013452914798206,small
0.0,MWKR_SPT,HurinkEdata2.fjs,1270.0,0.0405151844024658,MWKR_SPT,,10,10,871.0,0.4580941446613088,small
1.0,MWKR_SPT,HurinkEdata2.fjs,1150.0,0.0405151844024658,MWKR_SPT,,10,10,871.0,0.3203214695752009,small
2.0,MWKR_SPT,HurinkEdata2.fjs,1122.0,0.0405151844024658,MWKR_SPT,,10,10,871.0,0.2881745120551091,small
3.0,MWKR_SPT,HurinkEdata2.fjs,1142.0,0.0405151844024658,MWKR_SPT,,10,10,871.0,0.3111366245694604,small
4.0,MWKR_SPT,HurinkEdata2.fjs,1115.0,0.0405151844024658,MWKR_SPT,,10,10,871.0,0.2801377726750861,small
5.0,MWKR_SPT,HurinkEdata2.fjs,1182.0,0.0405151844024658,MWKR_SPT,,10,10,871.0,0.35706084959816303,small
6.0,MWKR_SPT,HurinkEdata2.fjs,1195.0,0.0405151844024658,MWKR_SPT,,10,10,871.0,0.3719862227324914,small
7.0,MWKR_SPT,HurinkEdata2.fjs,1168.0,0.0405151844024658,MWKR_SPT,,10,10,871.0,0.3409873708381171,small
8.0,MWKR_SPT,HurinkEdata2.fjs,1210.0,0.0405151844024658,MWKR_SPT,,10,10,871.0,0.38920780711825487,small
9.0,MWKR_SPT,HurinkEdata2.fjs,1184.0,0.0405151844024658,MWKR_SPT,,10,10,871.0,0.3593570608495982,small
0.0,MWKR_SPT,HurinkEdata20.fjs,963.0,0.0395712614059448,MWKR_SPT,,10,10,707.0,0.3620933521923621,small
1.0,MWKR_SPT,HurinkEdata20.fjs,957.0,0.0395712614059448,MWKR_SPT,,10,10,707.0,0.3536067892503536,small
2.0,MWKR_SPT,HurinkEdata20.fjs,995.0,0.0395712614059448,MWKR_SPT,,10,10,707.0,0.4073550212164074,small
3.0,MWKR_SPT,HurinkEdata20.fjs,938.0,0.0395712614059448,MWKR_SPT,,10,10,707.0,0.32673267326732675,small
4.0,MWKR_SPT,HurinkEdata20.fjs,999.0,0.0395712614059448,MWKR_SPT,,10,10,707.0,0.413012729844413,small
5.0,MWKR_SPT,HurinkEdata20.fjs,934.0,0.0395712614059448,MWKR_SPT,,10,10,707.0,0.32107496463932106,small
6.0,MWKR_SPT,HurinkEdata20.fjs,885.0,0.0395712614059448,MWKR_SPT,,10,10,707.0,0.25176803394625175,small
7.0,MWKR_SPT,HurinkEdata20.fjs,894.0,0.0395712614059448,MWKR_SPT,,10,10,707.0,0.26449787835926447,small
8.0,MWKR_SPT,HurinkEdata20.fjs,966.0,0.0395712614059448,MWKR_SPT,,10,10,707.0,0.36633663366336633,small
9.0,MWKR_SPT,HurinkEdata20.fjs,1004.0,0.0395712614059448,MWKR_SPT,,10,10,707.0,0.4200848656294201,small
0.0,MWKR_SPT,HurinkEdata21.fjs,1002.0,0.0405570983886718,MWKR_SPT,,10,10,842.0,0.19002375296912113,small
1.0,MWKR_SPT,HurinkEdata21.fjs,971.0,0.0405570983886718,MWKR_SPT,,10,10,842.0,0.15320665083135393,small
2.0,MWKR_SPT,HurinkEdata21.fjs,1002.0,0.0405570983886718,MWKR_SPT,,10,10,842.0,0.19002375296912113,small
3.0,MWKR_SPT,HurinkEdata21.fjs,1013.0,0.0405570983886718,MWKR_SPT,,10,10,842.0,0.20308788598574823,small
4.0,MWKR_SPT,HurinkEdata21.fjs,983.0,0.0405570983886718,MWKR_SPT,,10,10,842.0,0.167458432304038,small
5.0,MWKR_SPT,HurinkEdata21.fjs,971.0,0.0405570983886718,MWKR_SPT,,10,10,842.0,0.15320665083135393,small
6.0,MWKR_SPT,HurinkEdata21.fjs,1011.0,0.0405570983886718,MWKR_SPT,,10,10,842.0,0.2007125890736342,small
7.0,MWKR_SPT,HurinkEdata21.fjs,1013.0,0.0405570983886718,MWKR_SPT,,10,10,842.0,0.20308788598574823,small
8.0,MWKR_SPT,HurinkEdata21.fjs,1023.0,0.0405570983886718,MWKR_SPT,,10,10,842.0,0.21496437054631828,small
9.0,MWKR_SPT,HurinkEdata21.fjs,1013.0,0.0405570983886718,MWKR_SPT,,10,10,842.0,0.20308788598574823,small
0.0,MWKR_SPT,HurinkEdata22.fjs,993.0,0.0403306007385253,MWKR_SPT,,10,10,796.0,0.24748743718592964,small
1.0,MWKR_SPT,HurinkEdata22.fjs,956.0,0.0403306007385253,MWKR_SPT,,10,10,796.0,0.20100502512562815,small
2.0,MWKR_SPT,HurinkEdata22.fjs,1061.0,0.0403306007385253,MWKR_SPT,,10,10,796.0,0.33291457286432163,small
3.0,MWKR_SPT,HurinkEdata22.fjs,1034.0,0.0403306007385253,MWKR_SPT,,10,10,796.0,0.2989949748743719,small
4.0,MWKR_SPT,HurinkEdata22.fjs,1021.0,0.0403306007385253,MWKR_SPT,,10,10,796.0,0.28266331658291455,small
5.0,MWKR_SPT,HurinkEdata22.fjs,1024.0,0.0403306007385253,MWKR_SPT,,10,10,796.0,0.2864321608040201,small
6.0,MWKR_SPT,HurinkEdata22.fjs,1008.0,0.0403306007385253,MWKR_SPT,,10,10,796.0,0.2663316582914573,small
7.0,MWKR_SPT,HurinkEdata22.fjs,1142.0,0.0403306007385253,MWKR_SPT,,10,10,796.0,0.43467336683417085,small
8.0,MWKR_SPT,HurinkEdata22.fjs,1037.0,0.0403306007385253,MWKR_SPT,,10,10,796.0,0.3027638190954774,small
